-153.4975,67.21,59.9
-159.8658,65.6886,32.75
-164.6784,65.8171,16.48
-159.1594,70.5409,21.21
-156.4915,64.0326,59.61
-141.5457,67.1283,50.97
-156.5893,57.6947,65.15
-173.4942,52.0543,46.76
-142.43,66.5995,56.59
-161.8607,55.4259,123.58
-150.5242,63.1838,182.58
-145.518,64.5251,86.82
-145.4686,64.6896,98.45
-144.8406,60.6001,92.12
-144.3298,66.3013,42.44
-152.8425,67.5823,84.81
-144.4884,66.7312,33.45
-161.3542,70.1289,23.17
-142.14,66.0715,58.07
-150.8712,59.8783,44.82
-150.9002,69.3612,33.84
-147.4241,62.1631,78.11
-158.9568,59.5738,115.55
-141.0807,66.117,76.72
-142.2474,60.6506,216.2
-144.3518,61.9455,73.83
-143.7821,69.1,113.55
-151.6883,60.0606,68.61
-149.4202,69.2037,45.98
-143.2235,62.8698,47.0
-159.4837,64.2865,108.66
-149.9878,67.874,96.28
-165.2914,68.5252,36.3
-158.0952,56.5746,96.07
-158.0377,69.7222,27.13
-147.6373,63.2953,89.28
-146.2557,64.3136,92.01
-157.4549,66.5497,50.81
-161.8953,67.8242,36.25
-146.7485,63.1294,77.8
-166.0749,65.042,24.37
-134.4056,57.7707,293.58
-149.48,62.16,130.72
-150.4017,64.9654,55.39
-160.2723,68.3529,44.82
-161.6391,62.2765,47.45
-150.4792,59.6614,145.13
-143.0135,63.1898,34.03
-153.6052,67.1269,89.55
-156.069,59.4438,77.67
-160.9806,64.5171,42.68
-160.8013,64.9838,34.36
-142.6077,60.8494,106.49
-132.7005,55.7773,177.86
-148.074,69.0383,52.55
-156.2697,63.6216,56.65
-154.3979,70.4408,24.22
-150.7419,66.2621,73.71
-160.573,61.4981,44.86
-152.9353,62.7655,81.66
-156.6188,62.2903,58.53
-150.397,59.6592,140.83
-149.0409,63.2244,108.73
-145.3714,66.6115,28.7
-155.611,63.5473,62.38
-148.093,64.2707,75.86
-141.6639,66.205,53.09
-148.466,64.3263,68.27
-156.9001,57.6878,67.23
-158.1604,66.4084,38.6
-142.41,61.6306,45.31
-152.0714,67.7843,98.87
-164.0441,64.9341,26.17
-163.3405,54.8546,45.87
-161.9302,63.0526,57.41
-156.5815,62.9122,71.6
-152.91,60.9448,256.58
-157.2966,63.6025,58.62
-146.0916,63.5124,143.23
-176.8138,51.6776,45.85
-156.5604,62.664,53.87
-139.466,60.2929,470.41
-164.2225,62.4493,40.14
-161.8204,61.2254,39.24
-156.8191,57.6482,65.74
-148.5725,65.2873,85.17
-165.9341,65.6437,21.45
-161.4342,59.5818,53.09
-153.9304,64.5089,47.74
-152.3626,64.9566,50.61
-147.8358,67.2657,65.42
-153.3037,66.501,51.91
-163.3927,65.9395,7.39
-151.7152,68.1146,81.32
-164.4345,68.1118,30.85
-155.4172,67.2882,97.36
-141.0786,68.7116,64.67
-141.9722,61.3832,83.17
-141.7932,60.484,283.78
-161.4867,65.7045,17.7
-156.2735,68.5335,50.14
-141.2708,63.9762,75.5
-146.3529,61.0685,92.78
-138.2726,59.5606,403.38
-144.8797,68.6507,62.21
-158.5872,61.0798,63.29
-158.8629,59.4943,111.26
-156.7938,58.3119,75.57
-134.2049,57.6948,185.24
-155.711,62.0557,56.07
-157.9392,64.2095,111.63
-156.8938,59.511,81.65
-149.4282,70.3864,22.02
-144.8412,63.6077,62.12
-150.0717,67.3322,88.21
-141.0399,65.9866,74.3
-152.889,69.0059,41.84
-158.8834,64.1406,78.78
-152.9484,65.0031,46.83
-145.0094,63.3672,119.61
-156.2001,58.9448,90.06
-162.5556,68.8056,35.33
-160.2918,61.8434,45.37
-163.8428,60.7193,35.98
-143.2316,61.8223,93.11
-147.5558,61.9613,77.07
-159.4228,58.8912,84.4
-142.4712,66.2644,52.21
-137.7541,58.7287,188.63
-158.6146,68.4461,59.2
-153.7917,57.0999,62.19
-161.244,59.4675,61.89
-145.1298,67.019,37.01
-155.0505,60.9038,73.78
-150.8353,62.8593,179.12
-163.4733,62.9606,41.67
-154.9819,64.2571,47.22
-141.56,60.4205,277.33
-158.465,59.5914,81.66
-156.2168,64.1612,56.32
-142.9795,65.2885,70.51
-148.3395,62.5345,158.35
-162.8601,54.9767,57.47
-151.0163,61.9519,53.45
-153.0175,65.8341,55.26
-154.1481,69.3453,29.67
-147.554,67.9684,81.7
-134.4019,57.2072,164.03
-156.3002,59.2329,76.46
-159.211,56.4484,70.96
-161.3633,63.3738,53.94
-142.0127,60.1254,232.85
-144.4674,68.2482,67.16
-154.0297,67.2941,78.69
-148.7514,61.7201,65.81
-157.6794,66.67,46.65
-148.4147,69.5553,34.06
-160.2706,62.1768,45.08
-149.4663,65.8983,44.5
-150.6302,63.0619,234.58
-152.3515,61.8081,112.41
-147.3127,68.4639,83.17
-162.0131,65.428,17.06
-138.4818,59.118,192.84
-169.6622,63.3979,18.64
-156.7844,59.1821,77.17
-159.1998,69.1028,46.95
-148.8526,70.2445,23.68
-149.9944,67.8323,98.29
-146.6588,69.5358,46.8
-140.0517,59.9328,258.91
-152.9902,63.8425,54.61
-153.9162,69.3874,29.22
-145.1313,69.2138,107.84
-148.6811,62.1324,161.83
-142.7979,69.4676,52.32
-157.8122,65.4176,53.28
-159.8197,64.5237,101.74
-153.144,68.2529,91.5
-143.4791,62.9305,43.84
-162.8146,62.2922,45.67
-147.5928,63.5014,124.26
-160.0126,61.7725,50.0
-161.8368,59.1834,43.01
-164.0694,60.6189,35.26
-153.2731,67.6265,96.11
-149.1355,67.1826,69.38
-155.6228,67.1612,67.3
-130.4215,56.0324,155.23
-156.007,59.7758,83.33
-149.4495,62.3664,145.52
-141.6319,63.5849,46.59
-155.7691,58.4132,106.4
-143.626,68.1155,50.4
-151.0457,62.5737,143.18
-155.2201,60.861,78.39
-164.0655,65.2685,20.28
